"league","lat","long","team","color1","color2","teamID","metroID","loc"
"NCAA",30.4381531,-84.3044201,"Florida State Seminoles","#782F40","#CEB888",206,2090,"Tallahassee, Florida"
"NCAA",33.7725939,-84.3932535,"Georgia Tech Yellow Jackets","#B3A369","#A28D5B",207,108,"Atlanta, Georgia"
"NCAA",38.2058652,-85.7588096,"Louisville Cardinals","#AD0000","#FDB913",208,638,"Louisville, Kentucky"
"NCAA",25.9579665,-80.2388604,"Miami Hurricanes","#F47321","#005030",209,65,"Miami-Dade County, Florida"
"NCAA",35.8008001,-78.7195655,"NC State Wolfpack","#CC0000","#CC0000",210,444,"Raleigh, North Carolina"
"NCAA",35.9069535,-79.0478649,"North Carolina Tar Heels","#7BAFD4","#13294B",211,444,"Chapel Hill, North Carolina"
"NCAA",40.4467648,-80.0157603,"Pittsburgh Panthers","#003594","#FFB81C",212,308,"Pittsburgh, Pennsylvania"
"NCAA",43.036233,-76.1362931,"Syracuse Orange","#F76900","#000E54",213,879,"Syracuse, New York"
"NCAA",38.0311292,-78.5139314,"Virginia Cavaliers","#232D4B","#F84C1E",214,2672,"Charlottesville, Virginia"
"NCAA",37.2199873,-80.4180643,"Virginia Tech Hokies","#630031","#cf4420",215,1591,"Blacksburg, Virginia"
"NCAA",36.1314553,-80.2554475,"Wake Forest Demon Deacons","#9E7E38","#9E7E38",216,768,"Winston-Salem, North Carolina"
"NCAA",41.0725885,-81.5083528,"Akron Zips","#041E42","#A89968",217,239,"Akron, Ohio"
"NCAA",40.2159465,-85.416841,"Ball State Cardinals","#BA0C2F","#BA0C2F",218,2097,"Muncie, Indiana"
"NCAA",41.3780114,-83.6225,"Bowling Green Falcons","#FE5000","#4F2C1D",219,1034,"Bowling Green, Ohio"
"NCAA",42.9991427,-78.7775225,"Buffalo Bulls","#005BBB","#005BBB",220,368,"Town of Amherst, New York"
"NCAA",43.5776264,-84.7708509,"Central Michigan Chippewas","#6A0032","#FFC82E",221,4414,"Mount Pleasant, Michigan"
"NCAA",42.255885,-83.6473825,"Eastern Michigan Eagles","#006633","#006633",222,139,"Ypsilanti, Michigan"
"NCAA",41.1390167,-81.3136611,"Kent State Golden Flashes","#002664","#EAAB00",223,239,"Kent, Ohio"
"NCAA",39.5195186,-84.7329379,"Miami (OH) RedHawks","#b61e2e","#b61e2e",224,352,"Oxford, Ohio"
"NCAA",41.9339586,-88.7778357,"NIU Huskies","#BA0C2F","#8A8D8F",225,1102,"DeKalb, Illinois"
"NCAA",39.3210165,-82.1029537,"Ohio Bobcats","#00694E","#CDA077",226,3236,"Athens, Ohio"
"NCAA",41.6572818,-83.6135816,"Toledo Rockets","#15397F","#005CB9",227,1034,"Toledo, Ohio"
"NCAA",42.2855272,-85.6009176,"Western Michigan Broncos","#6C4023","#B5A167",228,1624,"Kalamazoo, Michigan"
"NCAA",38.9970678,-104.8435166,"Air Force Falcons","#003087","#8A8D8F",229,968,"El Paso County, Colorado"
"NCAA",43.6028444,-116.1958658,"Boise State Broncos","#D64309","#0033A0",230,947,"Boise, Idaho"
"NCAA",40.5698925,-105.0884348,"Colorado State Rams","#1E4D2B","#C8C372",231,1172,"Fort Collins, Colorado"
"NCAA",36.8144001,-119.7581518,"Fresno State Bulldogs","#db0032","#002e6d",232,759,"Fresno, California"
"NCAA",21.2943297,-157.8171673,"Hawaii Rainbow Warriors","#024731","#c8c8c8",233,630,"Honolulu, Hawaii"
"NCAA",39.5469709,-119.8176081,"Nevada Wolf Pack","#003366","#807f84",234,1090,"Reno, Nevada"
"NCAA",35.0669403,-106.6283203,"New Mexico Lobos","#BA0C2F","#a7a8aa",235,816,"Albuquerque, New Mexico"
"NCAA",33.8643777,-118.2611426,"San Diego State Aztecs","#a6192e","#A6192E",236,23,"Carson, California"
"NCAA",37.3196729,-121.8682899,"San Jose State Spartans","#0055A2","#E5A823",237,298,"San Jose, California"
"NCAA",36.0908665,-115.1833222,"UNLV Rebels","#CF0A2C","#CAC8C8",238,260,"Las Vegas, Nevada"
"NCAA",41.7517392,-111.8115885,"Utah State Aggies","#00263A","#8a8d8f",239,2945,"Logan, Utah"
"NCAA",41.3117035,-105.5682847,"Wyoming Cowboys","#ffc425","#492f24",240,5536,"Laramie, Wyoming"
"NCAA",36.2116003,-81.685497,"Appalachian State Mountaineers","#222222","#ffcc00",241,5080,"Boone, North Carolina"
"NCAA",35.8489122,-90.6671921,"Arkansas State Red Wolves","#cc092f","#000000",242,3352,"Jonesboro, Arkansas"
"NCAA",33.7928031,-79.0174575,"Coastal Carolina Chanticleers","#006f71","#A27752",243,1632,"Conway, South Carolina"
"NCAA",32.4121952,-81.7831353,"Georgia Southern Eagles","#011e41","#A3AAAE",244,5171,"Statesboro, Georgia"
"NCAA",33.736095,-84.3893472,"Georgia State Panthers","#0039A6","#C60C30",245,108,"Atlanta, Georgia"
"NCAA",38.4352952,-78.8729086,"James Madison Dukes","#450084","#CBB677",246,3075,"Harrisonburg, Virginia"
"NCAA",30.2158054,-92.041732,"Louisiana Ragin' Cajuns","#ce181e","#0a0203",247,1518,"Lafayette, Louisiana"
"NCAA",32.5309505,-92.0660318,"Louisiana-Monroe Warhawks","#840029","#FDB913",248,3036,"Monroe, Louisiana"
"NCAA",38.4249223,-82.4210186,"Marshall Thundering Herd","#00B140","#A2AAAD",249,2203,"Huntington, West Virginia"
"NCAA",36.8889026,-76.3048892,"Old Dominion Monarchs","#003057","#7C878E",250,426,"Norfolk, Virginia"
"NCAA",30.6966759,-88.1918231,"South Alabama Jaguars","#00205B","#BF0D3E",251,1376,"Mobile, Alabama"
"NCAA",31.3290179,-89.3312208,"Southern Miss Golden Eagles","#FFAB00","#000000",252,3237,"Hattiesburg, Mississippi"
"NCAA",29.8910195,-97.9255484,"Texas State Bobcats","#501214","#8d734a",253,406,"San Marcos, Texas"
"NCAA",31.7995116,-85.951846,"Troy Trojans","#8a2432","#b3b5b8",254,6481,"Troy, Alabama"
"NCAA",35.3104931,-80.7401126,"Charlotte 49ers","#046A38","#B9975B",255,357,"Charlotte, North Carolina"
"NCAA",25.7525026,-80.3778939,"FIU Panthers","#081E3F","#B6862C",256,65,"Miami-Dade County, Florida"
"NCAA",26.3761349,-80.1016311,"Florida Atlantic Owls","#003366","#CC0000",257,859,"Boca Raton, Florida"
"NCAA",32.5320245,-92.655838,"Louisiana Tech Bulldogs","#002F8B","#E31B23",258,5332,"Ruston, Louisiana"
"NCAA",35.8513192,-86.3681619,"Middle Tennessee Blue Raiders","#0066CC","#69B3E7",259,4000,"Murfreesboro, Tennessee"
"NCAA",33.2039355,-97.1592403,"North Texas Mean Green","#00853E","#00853E",260,1378,"Denton, Texas"
"NCAA",29.7162887,-95.4093113,"Rice Owls","#00205B","#C1C6C8",261,114,"Houston, Texas"
"NCAA",33.5277899,-86.8091966,"UAB Blazers","#006341","#CC8A00",262,684,"Birmingham, Alabama"
"NCAA",31.7733442,-106.5079256,"UTEP Miners","#FF8200","#041E42",263,5,"El Paso, Texas"
"NCAA",29.4169834,-98.4788143,"UTSA Roadrunners","#f15a22","#0C2340",264,392,"San Antonio, Texas"
"NCAA",36.9847323,-86.4594168,"Western Kentucky Hilltoppers","#c60c30","#1E1E1E",265,3197,"Bowling Green, Kentucky"
"NCAA",39.131219,-84.516233,"Cincinnati Bearcats","#E00122","#E00122",266,352,"Cincinnati, Ohio"
"NCAA",35.5964608,-77.3653493,"East Carolina Pirates","#592A8A","#FDC82F",267,2513,"Greenville, North Carolina"
"NCAA",29.722006,-95.349174,"Houston Cougars","#C8102E","#76232F",268,114,"Houston, Texas"
"NCAA",35.1210966,-89.9774275,"Memphis Tigers","#003087","#898D8D",269,597,"Memphis, Tennessee"
"NCAA",38.9847806,-76.5070716,"Navy Midshipmen","#00205B","#C5B783",270,61,"Annapolis, Maryland"
"NCAA",32.837778,-96.7826953,"SMU Mustangs","#0033A0","#C8102E",271,66,"University Park, Texas"
"NCAA",27.9758691,-82.5033344,"South Florida Bulls","#006747","#CFC493",272,170,"Tampa, Florida"
"NCAA",39.9013695,-75.1675215,"Temple Owls","#9D2235","#FFCD00",273,67,"Philadelphia, Pennsylvania"
"NCAA",29.944616,-90.116692,"Tulane Green Wave","#006747","#43B02A",274,517,"New Orleans, Louisiana"
"NCAA",36.1489569,-95.9437969,"Tulsa Golden Hurricane","#002D72","#C8102E",275,845,"Tulsa, Oklahoma"
"NCAA",28.6082145,-81.1926196,"UCF Knights","#ffc904","#ba9b37",276,249,"Orange County, Florida"
"NCAA",41.3875529,-73.9640708,"Army Black Knights","#D4BF91","#B2B4B3",277,664,"Orange County, New York"
"NCAA",40.2572867,-111.6546183,"BYU Cougars","#002E5D","#0062B8",278,969,"Provo, Utah"
"NCAA",37.3543549,-79.1751434,"Liberty Flames","#002d62","#c41230",279,2763,"Lynchburg, Virginia"
"NCAA",32.2794855,-106.7417131,"New Mexico State Aggies","#861F41","#97999B",280,3153,"Doña Ana County, New Mexico"
"NCAA",41.6983981,-86.233916,"Notre Dame Fighting Irish","#0C2340","#c99700",281,1186,"Notre Dame, Indiana"
"NCAA",41.759965,-72.6185678,"UConn Huskies","#000e2f","#ffffff",282,304,"East Hartford, Connecticut"
"NCAA",42.377271,-72.5360405,"UMass Minutemen","#971B2F","#572932",283,2581,"Hadley, Massachusetts"
"NCAA BB",42.35408,-71.12048,"Boston Terriers","#D21240","#D21240",284,85,"Boston, Massachusetts"
"NCAA BB",42.09363,-75.97018,"Binghamton Bearcats","#005A43","#169B62",285,1749,"Binghamton, New York"
"NCAA BB",44.90448,-68.6737,"Maine Black Bears","#003263","#B0D7FF",286,3434,"Orono, Maine"
"NCAA BB",40.91758,-73.12572,"Stony Brook Seawolves","#990000","#16243e",287,204,"Suffolk County, New York"
"NCAA BB",43.13817,-70.93852,"New Hampshire Wildcats","#041e42","#BBBCBC",288,1601,"Durham, New Hampshire"
"NCAA BB",44.47251,-73.19417,"Vermont Catamounts","#154734","#8B5B29",289,2049,"Burlington, Vermont"
"NCAA BB",42.68152,-73.82604,"Albany Great Danes","#461660","#eeb211",290,628,"Albany, New York"
"NCAA BB",39.25337,-76.71259,"UMBC Retrievers","#b18906","#ffc20e",291,61,"Arbutus, Maryland"
"NCAA BB",41.80227,-72.71664,"Hartford Hawks","#c02427","#0f0708",292,304,"West Hartford, Connecticut"
"NCAA BB",40.43736,-79.98781,"Duquesne Dukes","#041E42","#BA0C2F",293,308,"Pittsburgh, Pennsylvania"
"NCAA BB",39.9958,-75.23501,"Saint Joseph Hawks","#002B5C","#002B5C",294,67,"Philadelphia, Pennsylvania"
"NCAA BB",38.8978,-77.04934,"George Washtington Colonials","#C2A303","#C2A303",295,61,"Washington, District of Columbia"
"NCAA BB",39.15084,-84.47066,"Xavier Musketeers","#0C2340","#9EA2A2",296,352,"Norwood, Ohio"
"NCAA BB",42.07965,-78.48449,"Saint Bonaventure Bonnies","#002B5C","#002B5C",297,4986,"Cattaraugus County, New York"
"NCAA BB",37.58073,-77.53806,"Richmond Spiders","#000066","#990000",298,575,"Richmond, Virginia"
"NCAA BB",40.86219,-73.88371,"Fordham Rams","#860038","#860038",299,5,"New York, New York"
"NCAA BB",38.62662,-90.20246,"Saint Louis Billikens","#003DA5","#C8C9C7",300,267,"Saint Louis, Missouri"
"NCAA BB",41.48763,-71.53626,"Rhode Island Rams","#68abe8","#002147",301,358,"South Kingstown, Rhode Island"
"NCAA BB",40.04001,-75.15675,"La Salle Explores","#00245D","#0065A4",302,67,"Philadelphia, Pennsylvania"
"NCAA BB",39.73541,-84.20055,"Dayton Flyers","#CE1141","#004B8D",303,671,"Dayton, Ohio"
"NCAA BB",36.10363,-86.79901,"Lipscomb Bisons","#331E54","#F4AA00",304,502,"Nashville-Davidson, Tennessee"
"NCAA BB",35.4121,-78.73682,"Campbell Camels","#f58025","#231f20",305,444,"Harnett County, North Carolina"
"NCAA BB",34.03721,-84.58016,"Kennesaw State Owls","#FDBB30","#0B1315",306,108,"Kennesaw, Georgia"
"NCAA BB",36.13229,-86.79459,"Belmont Bruins","#C8102E","#00205B",307,502,"Nashville-Davidson, Tennessee"
"NCAA BB",29.0395,-81.30172,"Stetson Hatters","#00523E","#3B8729",308,2783,"DeLand, Florida"
"NCAA BB",36.30366,-82.37091,"East Tennessee Buccaneers","#592A8A","#FDC82F",309,1617,"Johnson City, Tennessee"
"NCAA BB",35.24611,-81.66948,"Gardner-Webb Bulldogs","#BF2F37","#ffffff",310,4186,"Cleveland County, North Carolina"
"NCAA BB",30.35025,-81.605,"Jacksonville Dolpins","#004E44","#898a8d",311,566,"Jacksonville, Florida"
"NCAA BB",30.27439,-81.50762,"University of North Florida Ospreys","#880000","#880000",312,566,"Jacksonville, Florida"
"NCAA BB",32.82963,-83.65103,"Mercer Bears","#f76800","#000000",313,1735,"Macon, Georgia"
"NCAA BB",42.64855,-73.75437,"Siena Saint Bernards","#FFC72C","#C8102E",314,628,"Albany, New York"
"NCAA BB",40.92914,-73.78299,"Iona Gaels","#6F2C3F","#F2A900",315,5,"New Rochelle, New York"
"NCAA BB",41.7181,-73.93432,"Marist Redfoxes","#C8102E","#b2b2b2",316,664,"Dutchess County, New York"
"NCAA BB",43.13695,-79.03792,"Niagara Purple Eagles","#582C83","#582C83",317,368,"Town of Lewiston, New York"
"NCAA BB",42.92098,-78.85765,"Canisius College Golden Griffins","#0C2340","#ffba00",318,368,"Buffalo, New York"
"NCAA BB",40.7278,-74.07343,"Saint Peters Peacocks","#003C71","#0072CE",319,5,"Jersey City, New Jersey"
"NCAA BB",38.92648,-77.02222,"Howard University Bison","#003a63","#e51937",320,61,"Washington, District of Columbia"
"NCAA BB",37.02,-76.33166,"Hampton Pirates","#0060A9","#ffffff",321,426,"Hampton, Virginia"
"NCAA BB",39.31189,-76.65791,"Coppin State Eagles","#003056","#ffc915",322,311,"Baltimore, Maryland"
"NCAA BB",36.07656,-79.76879,"NC A&T Aggies","#CC0000","#CC0000",323,768,"Greensboro, North Carolina"
"NCAA BB",30.42592,-84.28877,"Florida A&M Rattlers","#ee7624","#1b5633",324,2090,"Tallahassee, Florida"
"NCAA BB",39.34268,-76.58438,"Morgan State Bears","#1b4383","#f47937",325,311,"Baltimore, Maryland"
"NCAA BB",36.84796,-76.25766,"Norfolk State Spartans","#007A53","#F3D03E",326,426,"Norfolk, Virginia"
"NCAA BB",39.18752,-75.54336,"Delaware State Hornets","#EE3124","#72CDF4",327,2180,"Dover, Delaware"
"NCAA BB",29.21063,-83.03105,"Bethune-Cookman Wildcats","#F2A900","#6F263D",328,5,"Levy County, Florida"
"NCAA BB",33.50127,-80.84672,"South Carolina State Bulldogs","#862633","#001A72",329,5718,"Orangeburg, South Carolina"
"NCAA BB",38.21207,-75.68768,"Maryland Eastern Shore Hawks","#862633","#888B8D",330,2562,"Somerset County, Maryland"
"NCAA BB",41.46475,-87.04825,"Valparaiso Crusaders","#381e0e","#613318",331,2491,"Valparaiso, Indiana"
"NCAA BB",37.67565,-113.07315,"Southern Utah Thunderbirds","#C41425","#000000",332,4967,"Cedar City, Utah"
"NCAA BB",32.48086,-93.72996,"Centenary Gentleman","#960A2C","#960A2C",333,1733,"Shreveport, Louisiana"
"NCAA BB",39.08998,-94.60444,"UMKC Kangaroos","#005293","#fecb00",334,323,"Kansas City, Missouri"
"NCAA BB",39.77164,-86.17431,"IUPUI","#C8102E","#041E42",335,415,"Indianapolis, Indiana"
"NCAA BB",36.0481,-95.95582,"Oral Roberts Golden Eagles","#002f60","#C5b783",337,845,"Tulsa, Oklahoma"
"NCAA BB",42.67395,-83.21306,"Oakland Grizzlies","#003831","#EFB21E",338,139,"Auburn Hills, Michigan"
"NCAA BB",40.4716,-90.68508,"Western Illinois Lethernecks","#d9d4cc","#d9d4cc",339,6561,"Macomb, Illinois"
"NCAA BB",40.69276,-89.5938,"Bradley Braves","#A50000","#999999",340,1676,"Peoria, Illinois"
"NCAA BB",37.72203,-97.29777,"Wichita State Shockers","#FFCD00","#FFCD00",341,1231,"Wichita, Kansas"
"NCAA BB",39.46858,-87.40524,"Indiana State Sycamores","#0142BC","#0142BC",342,3295,"Terre Haute, Indiana"
"NCAA BB",37.20217,-93.28445,"Missouri State Bears","#5E0009","#5E0009",343,1671,"Springfield, Missouri"
"NCAA BB",41.6048,-93.65224,"Drake Bulldogs","#004477","#999999",344,953,"Des Moines, Iowa"
"NCAA BB",42.51488,-92.4672,"UNI Panthers","#ED2021","#4E9E47",345,2788,"Cedar Falls, Iowa"
"NCAA BB",41.26408,-95.92824,"Creighton Jays","#005ca9","#00235D",346,783,"Omaha, Nebraska"
"NCAA BB",40.51068,-88.99918,"Illinois State Redbirds","#ce1126","#F9DD16",347,2601,"Normal, Illinois"
"NCAA BB",37.97834,-87.51606,"Evansville Purple Aces","#52237f","#f36f21",348,1757,"Evansville, Indiana"
"NCAA BB",37.70827,-89.21833,"SIU Salukis","#ef3829","#ffffff",349,3083,"Carbondale, Illinois"
"NCAA BB",40.52048,-80.21489,"Robert Morris Colonials","#14234b","#a6192e",350,308,"Moon Township, Pennsylvania"
"NCAA BB",40.50585,-78.64168,"Saint Francis Red Flash","#002B5C","#002B5C",351,2394,"Cambria County, Pennsylvania"
"NCAA BB",41.69307,-72.76525,"Central Connecticut Blue Devils","#00539b","#ffffff",352,304,"New Britain, Connecticut"
"NCAA BB",39.6807,-77.34675,"Mount St. Mary's Mountaineers","#00549A","#A4A4A4",353,1077,"Frederick County, Maryland"
"NCAA BB",40.69342,-73.99128,"Saint Francis Terriers","#002B5C","#002B5C",354,5,"New York, New York"
"NCAA BB",40.61517,-74.09521,"Wagner Seahawks","#00483a","#b9bbbd",355,5,"New York, New York"
"NCAA BB",41.40673,-72.90736,"Quinnipiac Bobcats","#0C2340","#FFB81C",356,204,"Hamden, Connecticut"
"NCAA BB",40.89625,-74.03345,"Fairleigh Dickinson Knights","#28334A","#72293C",357,5,"Teaneck Township, New Jersey"
"NCAA BB",41.21969,-73.24533,"Sacred Heart Pioneers","#ce1141","#b1b3b6",358,204,"Fairfield, Connecticut"
"NCAA BB",45.57548,-122.72865,"Portland Pilots","#1e1656","#5e6A71",359,269,"Portland, Oregon"
"NCAA BB",34.03856,-118.70992,"Pepperdine Waves","#00205c","#ee7624",360,23,"Malibu, California"
"NCAA BB",32.77403,-117.18438,"San Diego Toreros","#002868","#84bce8",361,122,"San Diego, California"
"NCAA BB",37.34947,-121.93476,"Santa Clara Broncos","#862633","#862633",362,298,"Santa Clara, California"
"NCAA BB",47.6655,-117.39873,"Gonzaga Bulldogs","#041E42","#C8102E",363,1032,"Spokane, Washington"
"NCAA BB",37.84173,-122.10659,"Saint Mary's Gaels","#D80024","#06315B",364,99,"Moraga, California"
"NCAA BB",37.77696,-122.44943,"San Francisco Dons","#FDBB30","#00543C",365,99,"San Francisco, California"
"NCAA BB",36.0894,-80.22289,"Winston Salem State Rams","#C8102E","#C8102E",366,768,"Winston-Salem, North Carolina"
"NCAA BB",40.7431,-74.17987,"NJIT Rams","#D22630","#071D49",367,5,"Newark, New Jersey"
"NCAA BB",42.00413,-87.88653,"DePaul Demons","#005EB8","#E4002B",368,39,"Cook County, Illinois"
"NCAA BB",43.04346,-87.91736,"Marquette Golden Eagles","#003366","#ffcc00",369,386,"Milwaukee, Wisconsin"
"NCAA BB",40.81163,-74.06767,"Seton Hall Pirates","#004488","#A2AAAD",370,5,"Bergen County, New Jersey"
"NCAA BB",41.82353,-71.41821,"Providence Friars","#8a8d8f","#8a8d8f",371,358,"Providence, Rhode Island"
"NCAA BB",41.76846,-72.67704,"Connecticut Huskies","#000e2f","#ffffff",372,304,"Hartford, Connecticut"
"NCAA BB",40.7506,-73.99378,"Saint John's Red Storm","#002B5C","#002B5C",373,5,"New York, New York"
"NCAA BB",40.03391,-75.33621,"Villanova Wildcats","#00205b","#13b5ea",374,67,"Radnor Township, Pennsylvania"
"NCAA BB",38.89838,-77.02098,"Georgetown Hoyas","#041E42","#8D817B",375,61,"Washington, District of Columbia"
"NCAA BB",39.64945,-79.98147,"West Virginia Mountaimeers","#A6192E","#A6192E",376,2322,"Morgantown, West Virginia"
"NCAA BB",45.66334,-111.05106,"Montana State Bobcats","#00205B","#B9975B",377,3868,"Bozeman, Montana"
"NCAA BB",40.40203,-104.7028,"Northern Colorado Bears","#013C65","#f6b000",378,1172,"Greeley, Colorado"
"NCAA BB",46.8368,-113.98359,"Montana Grizzlies","#660033","#999999",379,3700,"Missoula, Montana"
"NCAA BB",41.18353,-111.94599,"Weber State Wildcats","#4b2682","#a1a1a4",380,340,"Ogden, Utah"
"NCAA BB",38.56191,-121.42724,"Cal State Sacramento Hornets","#043927","#c4b581",381,255,"Sacramento, California"
"NCAA BB",35.18057,-111.65287,"Northern Arizona Lumberjacks","#003466","#FFD200",382,3611,"Flagstaff, Arizona"
"NCAA BB",45.51095,-122.68671,"Portland State Vikings","#154734","#A5ACAF",383,269,"Portland, Oregon"
"NCAA BB",42.86501,-112.42877,"Idaho State Bengals","#FF671F","#F9A81A",384,3887,"Pocatello, Idaho"
"NCAA BB",47.49256,-117.59068,"Eastern Washington Eagles","#a10022","#6d6e71",385,1032,"Cheney, Washington"
"NCAA BB",37.78928,-79.43798,"VMI Keydets","#a71f23","#ffd520",386,2763,"Lexington, Virginia"
"NCAA BB",32.97931,-80.08577,"CSU Buccaneers","#4E0B32","#EEC632",387,828,"North Charleston, South Carolina"
